Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x10dd,105645.6,9090.8,4.0,3.0,5.0,4.0,"Credit-Builder Loan, Student Loan, Payday Loan, and Personal Loan",28.0,19.0,2.41,4.0,,1336.91,40.46,21 Years and 4 Months,No,315.41,170.89918722293208,High_spent_Large_value_payments,662.77,2024-06-01
CUS_0x1109,76284.72,6451.06,6.0,10.0,18.0,6.0,"Home Equity Loan, Credit-Builder Loan, Auto Loan, Not Specified, Payday Loan, and Mortgage Loan",24.0,12.0,6.69,11.0,Standard,1957.32,29.36,20 Years and 1 Months,Yes,222.96,163.64946924134182,High_spent_Medium_value_payments,508.5,2024-06-01
CUS_0x1286,33642.07,2509.51,7.0,3.0,12.0,2.0,"Debt Consolidation Loan, and Not Specified",22.0,8.0,0.13999999999999968,8.0,Standard,696.57,32.07,22 Years and 11 Months,No,29.56,__10000__,High_spent_Medium_value_payments,430.55,2024-06-01
CUS_0x12a8,103092.27,8311.02,3.0,6.0,10.0,4.0,"Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Student Loan",22.0,15.0,15.53,4.0,Standard,300.65,39.79,13 Years and 8 Months,Yes,328.6,65.92393372719343,High_spent_Large_value_payments,676.57,2024-06-01
CUS_0x1309,106876.77,9149.4,4.0,5.0,12.0,1.0,Not Specified,21.0,20.0,8.24,4.0,Good,356.07,32.78,29 Years and 5 Months,No,62.24,119.84314095421905,High_spent_Large_value_payments,972.85,2024-06-01
CUS_0x13f8,145858.88,11878.91,5.0,4.0,7.0,4.0,"Auto Loan, Student Loan, Credit-Builder Loan, and Personal Loan",0.0,6.0,5.91,1.0,,1321.93,39.01,30 Years and 4 Months,No,262.4,169.49535715112248,High_spent_Large_value_payments,995.99,2024-06-01
CUS_0x1472,15512.06,1431.67,3.0,4.0,13.0,5.0,"Personal Loan, Mortgage Loan, Mortgage Loan, Home Equity Loan, and Mortgage Loan",10.0,9.0,16.95,9.0,Standard,865.3,34.68,12 Years and 0 Months,Yes,48.13,182.13603131235172,Low_spent_Small_value_payments,202.9,2024-06-01
CUS_0x15a3,16490.8,1574.23,1.0,3.0,5.0,2.0,"Student Loan, and Payday Loan",6.0,8.0,-3.5,3.0,Good,1015.0,27.12,21 Years and 6 Months,No,17.11,136.75095359031434,Low_spent_Small_value_payments,293.56,2024-06-01
CUS_0x15f4,93712.29,7832.36,6.0,4.0,10.0,0.0,,15.0,20.0,15.44,5.0,Standard,20.09,37.13,30 Years and 11 Months,Yes,33406.0,623.3370685259705,Low_spent_Medium_value_payments,439.9,2024-06-01
CUS_0x15f8,69840.02,5874.0,6.0,5.0,10.0,1.0,Payday Loan,21.0,8.0,8.42,4.0,Good,651.86,40.28,19 Years and 2 Months,No,49.7,161.05925223455645,,630.8,2024-06-01
CUS_0x1640,102910.11,8707.84,7.0,6.0,11.0,2.0,"Home Equity Loan, and Mortgage Loan",29.0,15.0,19.1,8.0,Standard,930.24,32.18,20 Years and 4 Months,Yes,166.05,649.914332776222,Low_spent_Medium_value_payments,334.82,2024-06-01
CUS_0x1699,59962.52,4976.88,3.0,7.0,28.0,5.0,"Mortgage Loan, Mortgage Loan, Mortgage Loan, Home Equity Loan, and Not Specified",26.0,12.0,_,11.0,Standard,2660.36,34.17,17 Years and 3 Months,Yes,140.26,120.56930022871886,,506.86,2024-06-01
CUS_0x16b1,67412.2,5911.68,6.0,5.0,7.0,2.0,"Credit-Builder Loan, and Home Equity Loan",23.0,12.0,18.7,9.0,Standard,858.85,37.42,28 Years and 9 Months,Yes,106.59,__10000__,High_spent_Medium_value_payments,508.87,2024-06-01
CUS_0x16c4,8473.8,512.15,4.0,7.0,7.0,,"Mortgage Loan, Personal Loan, and Not Specified",20.0,14.0,12.78,10.0,Standard,1040.14,35.33,17 Years and 9 Months,Yes,16.8,25.57495899263232,,298.84,2024-06-01
CUS_0x16d5,14313.74,1334.81,7.0,6.0,31.0,,"Credit-Builder Loan, Student Loan, Credit-Builder Loan, Not Specified, Payday Loan, and Payday Loan",38.0,17.0,26.71,15.0,Bad,4050.69,35.65,11 Years and 8 Months,Yes,42.02,110.94003759909828,Low_spent_Small_value_payments,270.53,2024-06-01
CUS_0x172d,57242.61,4625.22,9.0,7.0,19.0,,"Debt Consolidation Loan, Debt Consolidation Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Credit-Builder Loan",42.0,24.0,26.33,12.0,,4841.18,30.55,7 Years and 10 Months,Yes,144.39,162.4163499489906,High_spent_Medium_value_payments,405.71,2024-06-01
CUS_0x1743,42527.04,3374.92,8.0,6.0,22.0,7.0,"Auto Loan, Home Equity Loan, Not Specified, Not Specified, Student Loan, Mortgage Loan, and Mortgage Loan",22.0,18.0,18.9,15.0,Bad,4193.78,25.46,11 Years and 0 Months,Yes,230.27,75.47368229286906,High_spent_Medium_value_payments,281.75,2024-06-01
CUS_0x17e9,67841.78,5562.48,8.0,3.0,14.0,4.0,"Payday Loan, Mortgage Loan, Mortgage Loan, and Mortgage Loan",28.0,17.0,2.35,3.0,Standard,1475.39,36.47,27 Years and 4 Months,NM,177.35,214.02515605972806,,424.87,2024-06-01
CUS_0x17f3,83355.33,7208.28,6.0,4.0,8.0,2.0,"Not Specified, and Mortgage Loan",11.0,15.0,10.07,4.0,Standard,677.27,26.04,30 Years and 2 Months,Yes,75.97,236.9426392136372,High_spent_Small_value_payments,667.92,2024-06-01
CUS_0x180f,30028.29,2286.36,3.0,6.0,10.0,4.0,"Personal Loan, Student Loan, Personal Loan, and Home Equity Loan",15.0,19.0,17.65,11.0,Standard,1410.84,35.26,7 Years and 3 Months,Yes,76.32,__10000__,Low_spent_Medium_value_payments,255.02,2024-06-01
CUS_0x18ab,14840.5,1501.71,9.0,8.0,25.0,9.0,"Not Specified, Home Equity Loan, Auto Loan, Payday Loan, Student Loan, Personal Loan, Mortgage Loan, Not Specified, and Auto Loan",11.0,22.0,22.07,7.0,Bad,2685.41,27.71,12 Years and 3 Months,Yes,84.42,191.19544730794087,Low_spent_Small_value_payments,164.55,2024-06-01
CUS_0x18e8,19633.03,1760.09,6.0,8.0,28.0,7.0,"Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",30.0,19.0,20.72,11.0,,4381.85,32.32,5 Years and 8 Months,Yes,74.77,111.92422188676868,High_spent_Small_value_payments,249.32,2024-06-01
CUS_0x1a4b,19958.32,1411.19,,7.0,26.0,7.0,"Auto Loan, Student Loan, Home Equity Loan, Payday Loan, Payday Loan, Student Loan, and Debt Consolidation Loan",52.0,24.0,1.9,6.0,Bad,4753.48,37.13,4 Years and 11 Months,Yes,94.81,48.63739475294326,,187.99,2024-06-01
CUS_0x1a9f,10062.82,696.57,10.0,7.0,18.0,55.0,"Not Specified, Personal Loan, Mortgage Loan, Mortgage Loan, and Student Loan",34.0,6.0,18.18,15.0,Standard,2089.58,37.06,8 Years and 11 Months,NM,23.83,46.276069540183926,Low_spent_Large_value_payments,269.55,2024-06-01
